Основные средства,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость,Номер счёта,Дата,Классификатор
Станция рабочая на два рабочих места (друг напротив друга) с экраном,41013606001673.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,15.10.2018,Введено в эксплуатацию,180.0,0.556,100.0,14653.25,1.0,14653.25,0.0,101,30.06.2022,101.36
Станция рабочая на два рабочих места (друг напротив друга) с экраном,41013606001685.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,15.10.2018,Введено в эксплуатацию,180.0,0.556,100.0,14653.25,1.0,14653.25,0.0,101,30.06.2022,101.36
Станция рабочая на два рабочих места (друг напротив друга) с экраном,41013606001699.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,15.10.2018,Введено в эксплуатацию,180.0,0.556,100.0,14653.25,1.0,14653.25,0.0,101,30.06.2022,101.36
IP-камера Dahua DH-IPC-HDBW91325RP-SL тип 2,21013604000003.0,320.26.30.13,4.0,100% при вводе в эксплуатацию,19.11.2018,Введено в эксплуатацию,84.0,1.19,100.0,90471.19,1.0,90471.19,0.0,101,30.06.2022,101.36
IP-камера Dahua DH-IPC-HDBW91325RP-SL тип 2,21013604000017.0,320.26.30.13,4.0,100% при вводе в эксплуатацию,19.11.2018,Введено в эксплуатацию,84.0,1.19,100.0,48120.99,1.0,48120.99,0.0,101,30.06.2022,101.36
"Кресло для отдыха Алекто, цвет бежевый",21013606000023.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,14.12.2018,Введено в эксплуатацию,180.0,0.556,100.0,10584.0,1.0,10584.0,0.0,101,30.06.2022,101.36
"Кресло для отдыха Алекто, цвет черный",21013606000027.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,14.12.2018,Введено в эксплуатацию,180.0,0.556,100.0,10584.0,1.0,10584.0,0.0,101,30.06.2022,101.36
Сейф VALBERG FRS-51 KL+KL,4101360800002.0,330.25.99.21.110,8.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,300.0,0.333,100.0,13200.0,1.0,13200.0,0.0,101,30.06.2022,101.36
Сушилка для рук Electrolux EHDA-2500,4101360300023.0,16 2930221,3.0,100% при вводе в эксплуатацию,07.04.2016,Введено в эксплуатацию,60.0,1.667,100.0,10950.0,1.0,10950.0,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000460.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000462.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000463.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000464.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000465.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000466.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000467.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000468.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000469.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000470.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000472.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000473.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000474.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000475.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000476.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000477.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000478.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000479.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000480.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000481.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000482.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000484.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000485.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000486.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000487.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000488.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000490.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000492.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000493.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000494.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000495.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000496.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000498.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000499.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000500.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000502.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000503.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000504.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000505.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000506.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000507.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000508.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000509.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000510.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000511.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000512.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000513.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000514.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000515.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000516.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000517.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000518.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000519.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000520.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000521.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000522.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000523.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000524.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000525.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000526.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000527.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000528.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000529.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000530.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000531.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000532.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000533.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000534.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000535.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000536.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000630.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000631.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000632.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000633.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000634.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000635.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000636.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000637.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000638.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000639.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000640.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000642.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000643.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000644.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000645.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000646.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000647.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000648.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000649.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000650.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000651.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000652.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000653.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000654.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000655.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000656.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000657.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000658.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000659.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000660.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000661.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000662.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000663.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000664.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000665.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000666.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000667.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000668.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000669.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000670.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000671.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000672.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000673.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000674.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000676.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000677.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000678.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000679.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000680.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
Кресло руководителя,41013606000681.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,10.11.2017,Введено в эксплуатацию,180.0,0.556,100.0,4356.66,1.0,4356.66,0.0,101,30.06.2022,101.36
