,Unnamed: 0,Основное средство,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость
735,726,"Легкая офисная тканевая перегородкас колесиками, цвет ткани SILVER темно-серый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003707.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
736,727,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003655.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
737,728,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003656.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
738,729,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003657.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
739,730,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003658.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
740,731,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003659.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
741,732,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003660.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
742,733,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003661.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
743,734,"Легкая офисная тканевая перегородкас колесиками, цвет ткани DENIM темно-синий, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003662.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
744,735,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003671.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
745,736,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003672.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
746,737,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003673.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
747,738,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003674.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
748,739,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003675.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
749,740,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003676.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
750,741,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003677.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
751,742,"Легкая офисная тканевая перегородкас колесиками, цвет ткани OLIVE темно-зеленый, ножки металл, цвет алюминий матовый, размер перегородки L1350*H1600",11013606003678.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,11.12.2020,Введено в эксплуатацию,180.0,0.556,100,11292.45,1.0,11292.45,0.0
752,743,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004122.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
753,744,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004123.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
754,745,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004124.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
755,746,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004125.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
756,747,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004126.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
757,748,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004127.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
758,749,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004128.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
759,750,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004129.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
760,751,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004130.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
761,752,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004131.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
762,753,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004132.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
763,754,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004133.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
764,755,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004134.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
765,756,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004135.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
766,757,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004136.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
767,758,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004137.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
768,759,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004138.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
769,760,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004139.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
770,761,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004140.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
771,762,"Шкаф деревянный для документов, купе, 163,6х44,4х110, альп. дуб",11013606004141.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,08.12.2020,Введено в эксплуатацию,180.0,0.556,100,12287.36,1.0,12287.36,0.0
772,763,"Кресло для персонала CHAIRMAN 420,натуральная кожа, черный",11013606004411.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100,28553.1,1.0,28553.1,0.0
773,764,"Кресло для персонала CHAIRMAN 405,экокожа, черный",11013606004410.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,31.03.2021,Введено в эксплуатацию,180.0,0.556,100,19867.07,1.0,19867.07,0.0
774,765,"Стол рабочий коллекции Тандем-А с экраном, 140x79x75 см, цвет дуб альпийский, ар",11013606004443.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,23.08.2021,Введено в эксплуатацию,180.0,0.556,100,17522.4,1.0,17522.4,0.0
775,766,"Стол для переговоров коллекции Сенатор, 240x120x75.9 см, цвет дуб шамони, арт. П",11013606004442.0,330.31.01.12,6.0,100% при вводе в эксплуатацию,23.08.2021,Введено в эксплуатацию,180.0,0.556,100,29680.2,1.0,29680.2,0.0
776,767,Шкаф архивный NL 1860х850х500,11013606004469.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,15045.0,1.0,15045.0,0.0
777,768,"Стеллаж СТ-150 2000х1000х600 5 полок, 150кг на полку",11013606004484.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,12213.0,1.0,12213.0,0.0
778,769,"Стеллаж СТ-150 2000х1000х400 6 полок, 150кг на полку",11013606004488.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,11216.49,1.0,11216.49,0.0
779,770,Металлический складской стеллаж СТ-300 (настил фанера),11013606004501.0,330.31.01.11,6.0,100% при вводе в эксплуатацию,06.09.2021,Введено в эксплуатацию,180.0,0.556,100,24603.0,1.0,24603.0,0.0
780,771,Шкаф-купе Geradom GD-1134,4101360400116.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,16400.0,1.0,16400.0,0.0
781,772,Шкаф-купе Geradom GD-1134,4101360400120.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,16400.0,1.0,16400.0,0.0
782,773,Шкаф средний Geradom GD-1175,4101360400159.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5650.0,1.0,5650.0,0.0
783,774,Шкаф средний Geradom GD-1175,4101360400167.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5650.0,1.0,5650.0,0.0
784,775,Шкаф высокий Geradom GD-1123,4101360400173.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,10300.0,1.0,10300.0,0.0
785,776,Шкаф высокий Geradom GD-1123,4101360400177.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,10300.0,1.0,10300.0,0.0
786,777,Шкаф высокий Geradom GD-1123,4101360400185.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,10300.0,1.0,10300.0,0.0
787,778,Гардероб Geradom GD-1189,4101360400222.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,8130.0,1.0,8130.0,0.0
788,779,Гардероб Geradom GD-1189,4101360400223.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,8130.0,1.0,8130.0,0.0
789,780,Гардероб Geradom GD-1189,4101360400229.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,8130.0,1.0,8130.0,0.0
790,781,Стол для руководителя Geradom GD-1201,4101360400237.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,12000.0,1.0,12000.0,0.0
791,782,Стол для персонала Geradom GD-1223,4101360400252.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
792,783,Стол для персонала Geradom GD-1223,4101360400263.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
793,784,Стол для персонала Geradom GD-1223,4101360400300.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
794,785,Стол для персонала Geradom GD-1223,4101360400310.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
795,786,Стол для персонала Geradom GD-1223,4101360400319.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
796,787,Стол для персонала Geradom GD-1223,4101360400329.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
797,788,Стол для персонала Geradom GD-1223,4101360400338.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
798,789,Стол для персонала Geradom GD-1223,4101360400341.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
799,790,Стол для персонала Geradom GD-1223,4101360400342.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,6150.0,1.0,6150.0,0.0
800,791,Тумба мобильная тип 1 Geradom GD-1112,4101360400369.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
801,792,Тумба мобильная тип 1 Geradom GD-1112,4101360400370.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
802,793,Тумба мобильная тип 1 Geradom GD-1112,4101360400371.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
803,794,Тумба мобильная тип 1 Geradom GD-1112,4101360400378.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
804,795,Тумба мобильная тип 1 Geradom GD-1112,4101360400380.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
805,796,Тумба мобильная тип 1 Geradom GD-1112,4101360400383.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
806,797,Тумба мобильная тип 1 Geradom GD-1112,4101360400389.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
807,798,Тумба мобильная тип 1 Geradom GD-1112,4101360400393.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
808,799,Тумба мобильная тип 1 Geradom GD-1112,4101360400394.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
809,800,Тумба мобильная тип 1 Geradom GD-1112,4101360400421.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
810,801,Тумба мобильная тип 1 Geradom GD-1112,4101360400426.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
811,802,Тумба мобильная тип 1 Geradom GD-1112,4101360400431.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
812,803,Тумба мобильная тип 1 Geradom GD-1112,4101360400433.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
813,804,Тумба мобильная тип 1 Geradom GD-1112,4101360400445.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
814,805,Тумба мобильная тип 1 Geradom GD-1112,4101360400447.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
815,806,Тумба мобильная тип 1 Geradom GD-1112,4101360400450.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
816,807,Тумба мобильная тип 1 Geradom GD-1112,4101360400460.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
817,808,Тумба мобильная тип 1 Geradom GD-1112,4101360400467.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
818,809,Тумба мобильная тип 1 Geradom GD-1112,4101360400470.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,5270.0,1.0,5270.0,0.0
819,810,Конференц-кресло Geradom GD-1028,4101360400475.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,03.09.2015,Введено в эксплуатацию,84.0,1.19,100,3090.0,1.0,3090.0,0.0
820,811,Конференц-кресло Geradom GD-1028,4101360400487.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,03.09.2015,Введено в эксплуатацию,84.0,1.19,100,3090.0,1.0,3090.0,0.0
821,812,Уничтожитель документов (HSM Classic 104.3(3.9),4101360400495.0,330.28.23.23,4.0,100% при вводе в эксплуатацию,02.09.2015,Введено в эксплуатацию,84.0,1.19,100,32525.0,1.0,32525.0,0.0
822,813,Стеллаж металлический 5 полок,4101360400503.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.10.2015,Введено в эксплуатацию,84.0,1.19,100,6996.93,1.0,6996.93,0.0
823,814,Стеллаж металлический 5 полок,4101360400507.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.10.2015,Введено в эксплуатацию,84.0,1.19,100,6996.93,1.0,6996.93,0.0
824,815,Стеллаж металлический 5 полок,4101360400511.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.10.2015,Введено в эксплуатацию,84.0,1.19,100,6996.93,1.0,6996.93,0.0
825,816,Стеллаж металлический 5 полок,4101360400513.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.10.2015,Введено в эксплуатацию,84.0,1.19,100,6996.93,1.0,6996.93,0.0
826,817,Шкаф универсальный,4101360400559.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.12.2015,Введено в эксплуатацию,84.0,1.19,100,5997.94,1.0,5997.94,0.0
827,818,Шкаф универсальный,4101360400577.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.12.2015,Введено в эксплуатацию,84.0,1.19,100,5997.94,1.0,5997.94,0.0
828,819,Стол для руководителя,4101360400579.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.12.2015,Введено в эксплуатацию,84.0,1.19,100,8706.04,1.0,8706.04,0.0
829,820,Стул тип 1,4101360400602.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.12.2015,Введено в эксплуатацию,84.0,1.19,100,4437.75,1.0,4437.75,0.0
830,821,Стул тип 1,4101360400603.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,14.12.2015,Введено в эксплуатацию,84.0,1.19,100,4437.75,1.0,4437.75,0.0
831,822,Кресло для персонала Geradom GD-1045,4101360400070.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
832,823,Кресло для персонала Geradom GD-1045,4101360400073.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
833,824,Кресло для персонала Geradom GD-1045,4101360400080.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
834,825,Кресло для персонала Geradom GD-1045,4101360400093.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
835,826,Кресло для персонала Geradom GD-1045,4101360400108.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
836,827,Кресло для персонала Geradom GD-1045,4101360400111.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,3700.0,1.0,3700.0,0.0
837,828,Шкаф низкий Geradom GD-1171,4101360400129.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,4940.0,1.0,4940.0,0.0
838,829,Шкаф низкий Geradom GD-1171,4101360400131.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100,4940.0,1.0,4940.0,0.0
839,830,Стол рабочий тип 1,4101360400969.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,4613.6,1.0,4613.6,0.0
840,831,Стол рабочий тип 1,4101360400976.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,4613.6,1.0,4613.6,0.0
841,832,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360400985.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
842,833,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401003.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
843,834,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401008.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
844,835,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401015.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
845,836,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401032.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
846,837,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401037.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
847,838,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401051.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
848,839,Стол рабочий тип 2 на 2 рабочих места 1400х1604х1147,4101360401067.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,6737.6,1.0,6737.6,0.0
849,840,Шкаф-купе,4101360400705.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,17793.35,1.0,17793.35,0.0
850,841,Шкаф-купе,4101360400710.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,17793.35,1.0,17793.35,0.0
851,842,Шкаф комбинированный,4101360400950.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,8951.25,1.0,8951.25,0.0
852,843,Шкаф комбинированный,4101360400957.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,8951.25,1.0,8951.25,0.0
853,844,Шкаф комбинированный,4101360400959.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,02.02.2016,Введено в эксплуатацию,84.0,1.19,100,8951.25,1.0,8951.25,0.0
